english,Fulfulde
Abattoir,Hirsirde
Abbreviate,Rammidina
Abdicate,Luncita
Abdication,Muraabus
Abdomen,Les jaaburu
Abhor,Ela
Abhorrence,Elo
Abhorrent,Elna
Ability,Kawda/kawdaaji
Ability,Baawal/baawɗe
Ablaze,Ulgaango
Able,Baawɗo/waawɓe/rakka/waawana
Abode,Tabitirde
Abomasum,Fulkuru/pulki
Abominable,Elniidum
Abomination,Leslesaaku
Abort,Rufa reedu/harfa/fiitina/reedu rufi/roota
Abortion,Doote/rootere
About,Baakin/yaake
Above,Dow/jiima
Abscess,Wumnde/bumɗe
Absent,Birniiɗum/birniiɗi/kattaaɗo/wirna
Absolutely,Laabidda
Absolved,Barriɗo
Absorb,Majjita
Absorbed,Soora
Abstract,Usitaaki
Abstruse,Purol
Abundance,Aagal
Abundant,Huuɓa/huumna
Abundantly,ɗuunma
Abuse,ŋatatte/huɗa
Accept,Tuugna/jaɓa
Accident,Boofol/boofi
Accompany,Daayna
Accomplice,Kuudiɗɗaawo
Accomplish,Timmina/haasta
Accomplished,taskitiiɗo
Accordance,pottananɗum
According,Fodde
Account,Diiwaanu/diiwaanji
Accumulate,Resda
Accuracy,Cahaaki
Accurate,caahiiɗum
Accurately,Bee caahiɗum
Accusation,Haadoore
Accusative,nasbaaɗo/nasbaaɗo/nasbaare
Accuse,Haada/waadira/fewna
Accustomed,Woowa/wofta/woftine
Ache,Lamma
Achieve,Jokkita
Acid,Lamma
Acidity,Lammeenga
Acknowledge,Jaɓana/wootiɗina
Acne,Birdimre/birdimje
Acquaintance,Gite-boowraɗe
Acquaintances,Wowriɗiraaɓe
Acquainted,Hirrita
Acquire,Faggita
Acquit,Barrina
Acquitted,Barriɗo/gooŋɗa
Acre,Ngesa/gese
Acrimonious,Nyannga
Act,Werna/wedda/kawda/kawdaaji
Acts,Beddiiɗo
Actual,Hakiikinkeejum
Actually,Jaka
Add,Henta/tampitina
addicted,pewpewɗo/salna/ɗaanotoodo
Addition,Hawtugo
Additional,ɓesdaari
Address,Huɗba
Adenium,Darɓokki
Adjective,Tinndinoore lencitki
Adjust,Jojja
Administer,Wunna
Administration,Gunnuki
Administrative,Siyaasa
Administrator,Ne’oowo
Admonish,Waaja
Admonition,Waaju
Adopt,Ajamɗina
Adorn,Farna
Adult,Ayni/dotta
Adulteration,Algus
Adulterer,Jeenoowo/ jeenooɓe
Adulteress,Jeenoowo/ jeenooɓe
Adultery,Njeenu
Advance,ɓesda/tummbaari/tummbaaje/hanndina/ndunyiiru/fuɗɗugo/duuna/duunago/ponndindira
Advanced,Jennga/dunya
Advantage,Fayde/nyayra
Advantages,ɓurdindiral
Adverb,Noonde/noone
Adversary,Ganyo/wanywanyɓe
Adversity,Laru/laruuji
Advice,Haala/haalaaji/saawara/dawrana/lori
Advise,Wasa/soka
Adviser,Dawroowa
Aeroplane,Piirowal/piirooje
Affair,Fii/fiiji